                       National Data Buoy Center

             Heights (in meters) of the sensors at NDBC stations

STATION      SITE       AIR_TEMP    ANEMOMETER        TIDE       BAROMETER
 IDENT    ELEVATION    ELEVATION     ELEVATION     REFERENCE     ELEVATION

AMAA2          33.2         15.7         15.7         0            35.1
AUGA2          9.1          6.4          6.6          0            10.6
BLIA2          0            21.3         21.6         0            16.5
BURL1          0            13.7         38           0            13.4
BUZM3          0            24.5         24.8         0            17.4
CDRF1          1.8          9.1          10           0            3
CLKN7          4.6          6.4          9.8          0            11
DBLN6          182.9        12.8         20.4         0            196.9
DESW1          21.3         31.4         31.4         0            39
DISW3          191.7        25.3         25.3         0            210.6
DPIA1          0            9.1          13.5         0            8.5
DRFA2          15.9         6.4          6.6          0            17.4
FBIS1          3            6.7          9.8          0            4.6
FFIA2          6.7          4.3          22           22.9         21.3
FILA2          17.9         15.7         15.7         0            19.9
FWYF1          0            11           43.9         0            29.3
IOSN3          13.1         11.9         19.2         0            18.9
KTNF1          1.8          9.1          10           0            3
LONF1          0            6.7          7            21.09        5.8
MDRM1          9.1          15.2         22.6         0            16.5
MISM1          16.2         3.8          7.1          0            16.8
MLRF1          0            15.5         15.8         0            11.3
MRKA2          0            15.4         15.9         0            10.9
NWPO3          9.1          6.4          9.4          0            11
PILA2          24           6.4          6.6          0            25
PILM4          195.4        9.8          15.5         0            230.4
PLSF1          0            17.4         17.7         0            15.8
POTA2          7            9.1          10           0            8.5
PTAC1          17.4         6.1          12.5         0            18.9
PTAT2          0            9.1          14.9         24.35        6.4
PTGC1          32.3         9.1          9.4          0            33.5
ROAM4          183.5        46.5         46.9         0            222.7
SANF1          0            14.6         14.6         0            14.6
SAUF1          8.8          7.6          7.6          8.8          8.8
SBIO1          176.8        1.5          21           0            178.3
SGNW3          175.9        15.5         19.2         0            189
SGOF1          0            35.1         35.1         0            19.8
SISW1          15.2         2            2            NA           17.2
SMKF1          0            6.1          6.1          NA           6.1
SPGF1          1.5          6.1          6.6          0            2.7
SRST2          0.7          9.1          9.1          0            2.4
STDM4          182.9        35.2         35.2         0            211.2
TPLM2          0            17.4         18           0            12.2
VENF1          0            7.3          11.6         19.73        4.9
WPOW1          3            5.5          9.8          0            8.8
