             Heights (in meters) of the sensors at non-NDBC stations

STATION        SITE    ATMP   ANEMOMETER  TIDE  BAROMETER   WTMP    WATER   WATCH
  ID          HEIGHT  HEIGHT    HEIGHT    REF    HEIGHT    HEIGHT   DEPTH   CIRCLE


00922          NA       NA       NA       NA       NA       NA       NA       NA      
00923          NA       NA       NA       NA       NA       NA       NA       NA      
01500          NA       NA       NA       NA       NA       NA       NA       NA      
01502          NA       NA       NA       NA       NA       NA       NA       NA      
01503          NA       NA       NA       NA       NA       NA       NA       NA      
01504          NA       NA       NA       NA       NA       NA       NA       NA      
01505          NA       NA       NA       NA       NA       NA       NA       NA      
01506          NA       NA       NA       NA       NA       NA       NA       NA      
01507          NA       NA       NA       NA       NA       NA       NA       NA      
01508          NA       NA       NA       NA       NA       NA       NA       NA      
01510          NA       NA       NA       NA       NA       NA       NA       NA      
01511          NA       NA       NA       NA       NA       NA       NA       NA      
01517          NA       NA       NA       NA       NA       NA       NA       NA      
01518          NA       NA       NA       NA       NA       NA       NA       NA      
01519          NA       NA       NA       NA       NA       NA       NA       NA      
01521          NA       NA       NA       NA       NA       NA       NA       NA      
01522          NA       NA       NA       NA       NA       NA       NA       NA      
01523          NA       NA       NA       NA       NA       NA       NA       NA      
01524          NA       NA       NA       NA       NA       NA       NA       NA      
01526          NA       NA       NA       NA       NA       NA       NA       NA      
01531          NA       NA       NA       NA       NA       NA       NA       NA      
01532          NA       NA       NA       NA       NA       NA       NA       NA      
01534          NA       NA       NA       NA       NA       NA       NA       NA      
01535          NA       NA       NA       NA       NA       NA       NA       NA      
01536          NA       NA       NA       NA       NA       NA       NA       NA      
01537          NA       NA       NA       NA       NA       NA       NA       NA      
01538          NA       NA       NA       NA       NA       NA       NA       NA      
01909          NA       NA       NA       NA       NA       NA       NA       NA      
01910          NA       NA       NA       NA       NA       NA       NA       NA      
0y2w3          179      NA       10       NA       NA       NA       NA       NA      
15319          NA       NA       NA       NA       NA       NA       70       NA      
18ci3          176      NA       21       NA       NA       NA       NA       NA      
18cy3          NA       NA       NA       NA       NA       NA       NA       NA      
