## Station Owners file format is:
# OWNERCODE | OWNERNAME | COUNTRYCODE
A  |CaroCOOPS|US    
AC |U.S. Army Corps of Engineers|US    
AF |University of Alaska, Fairbanks|US    
AH |Amerada Hess|US    
AK |NWS Alaska Region|US    
AN |Anadarko|US    
AO |AOML  |US    
AP |Apache Deepwater LLC|US    
AS |Alaska Ocean Observing System|US    
AT |ATP   |US    
AU |Australian Bureau of Meteorology|AU    
B  |Chesapeake Biological Lab|US    
BH |BHP   |US    
BM |University of California Davis, Bodega Marine Laboratory|US    
BP |BP Inc|US    
C  |Environment and Climate Change Canada|CA    
CA |Callon|US    
CB |Chesapeake Bay Interpretive Buoy System (CBIBS)|US    
CD |Cooperative Effort DART 4G|US    
CE |NWS Central Region|US    
CG |U.S.C.G. Marine Reporting Stations|US    
CH |Chicago Park District|US    
CI |Caribbean Integrated Coastal Ocean Observing System (CarICoos)|US    
CM |Center for Coastal Margin Observation and Prediction|US    
CN |Central and Northern California Ocean Observing System|US    
CO |ConocoPhillips|US    
CP |California Polytechnic State University|US    
CR |CORMP |US    
CS |North Carolina State University|US    
CT |Chevron|US    
CY |Cobalt Energy|US    
D  |CORIE |US    
DA |DIMAR Colombia|CO    
DC |DIMAR Colombia - CCCP|CO    
DE |Devon Energy|US    
DG |Deep Gulf Energy|US    
DI |Dauphin Island Sea Lab|US    
DO |Dominion Exploration & Production Inc|US    
DU |Dalhousie University|CA    
DW |Delaware Coastal Management Program|US    
E  |Hydrographic and Oceanographic Service of the Chilean Navy (SHOA)|CL    
EA |NWS Eastern Region|US    
EB |California State University, East Bay|US    
EE |Enven Energy Corporation|US    
EM |EPA & Mexican Government Cooperative Program|US    
EN |ENI Petroleum|US    
EO |Ensco |UK    
EP |El Paso E&P Company, L.P.|US    
ER |Energy Resources Technologies/Remington|US    
ES |Esso Petroleum, Australia|AU    
EX |ExxonMobil|US    
F  |Meteo France|FR    
FA |Federal Aviation Administration|US    
FG |Fugro GEOS|US    
FM |Freeport-McMoRan|US    
FS |Florida State University|US    
FT |Florida Institute of Technology|US    
G  |GLERL |US    
GS |United States Geological Survey|US    
H  |NC-COOS|US    
HC |Brazilian Navy Hydrographic Center|BR    
HE |Helix |US    
HP |University of Maryland Horn Point Laboratory|US    
HU |Humboldt State University|US    
HY |Russian HYDROMET, the Far Eastern Regional Hydrometeorological Research Institute (FERHRI)|RU    
I  |Long Island Ferry|US    
IC |Integrated Coral Observing Network (ICON)|US    
ID |Indonesian Agency for Assessment and Application of Technology (BPPT)|ID    
II |Illinois-Indiana Sea Grant and Purdue Civil Engineering|US    
IM |Icelandic Maritime Administration|IS    
IN |Intellicheck Mobilisa|US    
IO |Australian Integrated Marine Observing System|AU    
IP |INPE Brazil|BR    
IR |Instituto Oceanografico de la Armada|EC    
IS |Indian National Center for Ocean Information Services INDIA|IN    
J  |Stevens|US    
JM |Japanese Meteorological Agency|JP    
K  |TCOON |US    
KA |King Abdullah University for Science and Tech (KAUST)|SA    
KM |Kerr-McGee|US    
KO |Korean Meteorological Administration|KR    
L  |LUMCON|US    
LL |LLOG  |US    
LM |National Park Service - Lake Mead National Recreation Area|US    
LP |Louisiana Offshore Oil Port|US    
LR |LiquidRobotics Inc.|US    
LT |Limno Tech|US    
MA |Marine Exchange of Alaska|US    
MB |MBARI |US    
MC |University of Michigan CILER|US    
MD |Maersk Drilling USA|US    
ME |Mariner Energy Inc. for MMS|US    
MG |Marubeni Oil and Gas Inc|US    
MI |University of Michigan|US    
ML |Moss Landing Marine Lab|US    
MM |MOTE Marine|US    
MN |University of Minnesota, Duluth|US    
MO |Marathon Oil|US    
MS |Mississippi State University|US    
MT |Michigan Technological University|US    
MU |Murphy|US    
N  |NDBC  |US    
NA |Northwest Association of Networked Ocean Observing Systems|US    
NC |Northeastern Regional Association of Coastal Ocean Observing Systems|US    
NE |Noble Energy|US    
NF |Newfield Exploration Company|US    
NH |University of New Hampshire|US    
NI |Northwestern Michigan College|US    
NM |National Marine Fisheries Service|US    
NN |Northern Michigan University|US    
NO |UNH/Oscilla Power/UW-APL|US    
NP |Everglades National Park|US    
NR |National Estuarine Research Reserve System|US    
NS |South Carolina Nearshore Monitoring System|US    
NV |U.S. Navy|US    
NX |Nexen Petroleum USA|US    
O  |NOS   |US    
OO |Ocean Observatories Initiative|US    
OR |Oregon Coastal Ocean Observing System|US    
OT |National Institute for Ocean Technology INDIA|IN    
P  |COMPS (University of South Florida)|US    
PA |NWS Pacific Region|US    
PB |Petrobras|US    
PD |PMEL (US Research System) DART 4G|US    
PE |Petrolia|US    
PF |NOAA Pacific Islands Fisheries Science Center|US    
PI |Pioneer|US    
PL |SUNY Plattsburgh Center for Earth and Environmental Science/Lake Champlain Research Institute|US    
PM |NOAA/PMEL|US    
PN |Puerto Rico Seismic Network|US    
PO |Pacific Islands Ocean Observing System|US    
PR |Prediction and Research Moored Array in the Atlantic|FR    
PS |Plains Exploration|US    
Q  |Mariner Energy Inc.|US    
R  |SCRIPPS|US    
RA |Raytheon|US    
RC |Regional Science Consortium|US    
RE |National Renewable Energy Laboratory|US    
RO |Remington Oil and Gas Corp|US    
RS |Repsol|ES    
RU |Rutgers|US    
S  |Skidaway|US    
SA |SAIC  |US    
SB |Shell Arctic|US    
SC |SCCOOS|US    
SD |National Park Service - Sleeping Bear Dunes|US    
SE |Stone Energy|US    
SF |San Francisco State|US    
SH |Shell Oil|US    
SI |UNC Coastal Studies Institute|US    
SJ |Meteorological Dept, States of Jersey|GB    
SL |Statoil Hydro|US    
SM |The Scottish Association for Marine Science (SAMS)|GB    
SO |NWS Southern Region|US    
SP |Spinnaker|US    
ST |Stony Brook University|US    
SW |Superior Watershed Partnership|US    
T  |TABS  |US    
TB |Greater Tampa Bay Marine Advisory Council-PORTS|US    
TC |Terra Ceia Aquatic Preserve|US    
TE |Talos Energy LLC|US    
TH |National Disaster Warning Center (NDWC), Department of Disaster Prevention and Mitigation, Ministry of the Interior, Thailand|TH    
TN |Tana Exploration Company|US    
TO |Total USA|US    
U  |UK Met Office|GB    
UA |University of Maine|US    
UB |University of North Carolina|US    
UC |University of Illinois at Urbana-Champaign|US    
UD |University of Delaware|US    
UG |University of Georgia|US    
UH |University of Hawaii|US    
UM |University of Massachusetts|US    
UN |Unocal|US    
US |USM   |US    
UW |University of Washington/iRobot|US    
V  |NAVO  |US    
VD |Virginia Department of Mines, Minerals, and Energy|US    
VE |Vermont EPSCOR|US    
VM |Virginia Institute of Marine Science (VIMS)|US    
W  |Met Eireann|IE    
WA |University of Washington|US    
WE |NWS Western Region|US    
WH |Woods Hole Oceanographic Institution|US    
WI |Williams|US    
WM |University of Wisconsin-Milwaukee|US    
WO |Walter Oil and Gas|US    
WP |University of Washington - APL|US    
WQ |APL-UW, University of Washington Applied Physics Laboratory|US    
WS |Woodside Energy|US    
WT |W&T Offshore|US    
X  |Private Industry Oil Platform|GB    
XX |U.S. Navy and U.S. Army Corps of Engineers|US    
Y  |MYSOUND|US    
Z  |LSU CSI|US    
